fileid;commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC;Type1;Type2;Type3;Type4;Type5;Type
0;387e6b63;0;0;3.937;44.636;1.965;0.21;18.615;606;27727;1;0;0;0;0;Type1
1;812265f1;0;0;3.937;44.636;1.965;0.21;18.615;606;27727;1;0;0;0;0;Type1
2;57b8713ca;2;1;3.972;44.724;1.952;0.207;18.959;598;28194;1;0;0;0;0;Type1
3;b7c54b79d;0;0;3.972;44.724;1.952;0.207;18.966;598;28194;1;0;0;0;0;Type1
4;fe001fdab;129;1;3.979;44.527;1.952;0.212;18.973;594;28236;1;0;0;0;0;Type1
5;b295ab911;11;1;3.979;44.534;1.952;0.212;18.973;594;28239;1;0;0;0;0;Type1
6;ab00a1360;1351;9;3.979;44.527;1.952;0.212;18.973;594;28236;0;0;1;0;0;Type3
7;a5404125f;81;1;3.978;45.543;1.986;0.217;18.833;626;27380;1;0;0;0;0;Type1
8;49be972ca;0;0;4.007;45.712;1.978;0.216;18.964;623;27618;1;0;0;0;0;Type1
9;aeaa4571;0;0;4.029;46.022;1.978;0.216;19.007;623;27698;1;0;0;0;0;Type1
10;2df086b31;439;9;4.007;45.712;1.978;0.216;18.964;623;27618;1;0;0;0;0;Type1
11;44573fc5f;0;0;4.007;45.712;1.978;0.216;18.964;623;27618;1;0;0;0;0;Type1
12;8720327a;0;0;4.007;45.712;1.978;0.216;18.964;623;27618;1;0;0;0;0;Type1
13;3fe9246f6;1452;11;4;44.828;1.952;0.207;18.924;598;28174;0;0;1;0;0;Type3
14;77ed2f4d6;522;7;4.029;46.05;1.978;0.216;19.043;623;27709;1;0;0;0;0;Type1
15;85d1b5050;2109;23;3.96;43.715;1.927;0.199;18.881;572;28559;0;0;0;1;0;Type4
16;a9fedabe3;4;1;4.029;46.05;1.978;0.216;19.043;623;27709;1;0;0;0;0;Type1
17;ec3c8123b;0;0;4.029;46.065;1.978;0.216;19.043;623;27709;1;0;0;0;0;Type1
18;958c835ef;17;2;4.029;46.065;1.978;0.216;19.043;623;27709;1;0;0;0;0;Type1
19;ddc8fa98;0;0;3.993;44.795;1.945;0.205;18.945;594;28266;1;0;0;0;0;Type1
20;3d9672d90;1641;13;3.993;44.801;1.945;0.205;18.952;594;28283;0;0;1;0;0;Type3
21;d30bd8366;0;0;4.029;46.18;1.978;0.216;19.079;623;27729;1;0;0;0;0;Type1
22;8a1cf335a;13;1;4.014;45.879;1.971;0.214;18.95;619;27738;1;0;0;0;0;Type1
23;0a0b573d7;0;0;4.029;46.18;1.978;0.216;19.079;623;27729;1;0;0;0;0;Type1
24;2ca5d3e05;562;9;4.029;46.18;1.978;0.216;19.079;623;27729;0;1;0;0;0;Type2
25;a74c94ae;0;0;3.993;44.822;1.945;0.205;18.986;594;28292;1;0;0;0;0;Type1
26;3d170ba8;0;0;4.029;46.201;1.978;0.216;19.086;623;27738;1;0;0;0;0;Type1
27;69fb711b4;1669;14;3.993;44.822;1.945;0.205;18.986;594;28296;0;0;1;0;0;Type3
28;a6b892ed3;0;0;4;44.863;1.945;0.205;19.034;594;28317;1;0;0;0;0;Type1
